r,x,PSRType(A),cluster
14.54,50.1,1,1
22.39999962,82.59999847,1,1
18.79999924,69.59999847,1,1
9.39999962,42.0,1,1
22.0,158.0,1,1
22.0,158.0,1,1
0.4,1.8,1,0
0.5,2.1,1,0
1.0,2.5,1,0
5.9,14.9,1,0
25.39999962,32.40000153,1,1
32.66999817,42.47000122,1,1
58.97999954,68.40000153,1,1
0.57999998,0.81,1,0
23.39999962,30.39999962,1,1
10.69999981,13.89999962,1,1
42.86000061,48.47000122,1,1
15.5,20.20000076,1,1
1.79999995,1.75999999,1,0
34.0,32.59999847,1,1
30.70000076,41.59999847,1,1
19.79999924,25.70000076,1,1
5.9000001,7.69999981,1,0
10.60000038,10.10000038,1,1
1.2,4.1,1,0
1.2,4.1,1,0
8.0,13.69999981,1,1
1.38999999,2.94000006,1,0
0.30000001,0.07,1,0
0.02,0.05,1,0
3.91000009,18.29000092,1,0
3.53999996,6.05999994,1,0
2.53999996,4.36000013,1,0
0.38,0.064,1,0
11.69999981,19.89999962,1,1
6.36,14.0,1,0
22.3,35.0,1,1
8.1,17.1,1,1
8.1,17.1,1,1
0.83999997,2.1500001,1,0
0.83999997,2.1500001,1,0
13.2,25.75,1,1
5.3499999,11.34000015,1,0
5.84000015,12.38000011,1,0
0.1,0.1,0,2
0.1,0.1,0,2
4.07,15.83,1,0
4.1,16.26,1,0
8.15,32.31,1,1
7.66,29.88,1,1
10.60000038,43.0,1,1
34.2,146.2,1,1
8.02999973,31.70000076,1,1
4.5999999,18.20000076,1,0
4.4000001,17.39999962,1,0
15.0,60.29999924,1,1
15.69999981,62.79999924,1,1
5.82999992,23.0,1,1
4.17000008,16.46999931,1,0
1.84,7.76,1,0
1.68,7.09,1,0
21.89999962,84.80000305,1,1
26.89999962,104.69999695,1,1
22.98,97.0,1,1
23.45,99.0,1,1
8.96,36.1,1,1
4.40999985,18.60000038,1,0
8.39000034,35.40000153,1,1
4.2,23.5,1,0
2.6,11.2,1,0
1.5,10.7,1,0
2.1,14.2,1,0
7.71000004,30.44000053,1,1
7.01000023,31.30999947,1,1
7.0,30.14999962,1,1
19.0,82.0,1,1
12.0,52.70000076,1,1
1.03999996,5.5,1,0
0.6,2.4,1,0
0.6,2.4,1,0
2.4,11.2,1,0
2.4,11.2,1,0
8.0,35.3,1,1
20.8,91.8,1,1
20.8,91.8,1,1
5.0,20.0,1,0
8.60000038,34.0,1,1
6.52799988,29.17000008,1,1
0.33000001,1.49000001,1,0
18.6,67.6,1,1
18.6,67.6,1,1
8.52999973,37.75,1,1
7.9000001,35.20000076,1,1
1.29999995,6.0,1,0
16.79999924,72.0,1,1
2.88000011,11.42000008,1,0
4.98000002,20.19000053,1,0
4.44999981,17.4489994,1,0
8.39000034,33.4109993,1,1
21.89999962,86.36000061,1,1
2.0999999,8.36999989,1,0
2.41,9.49,1,0
2.41,9.49,1,0
6.69000006,26.43000031,1,1
1.72000003,10.75,1,0
4.78999996,18.79999924,1,0
5.21999979,20.05999947,1,0
3.898,15.01200008,1,0
4.17000008,16.97999954,1,0
4.61999989,18.22999954,1,0
4.48000002,17.70999908,1,0
5.01999998,31.85000038,1,1
9.23999977,35.43799973,1,1
5.19999981,20.20000076,1,0
2.16000009,8.39999962,1,0
12.52999973,48.13999939,1,1
6.55000019,41.40000153,1,1
19.6989994,79.30000305,1,1
8.57999992,52.04000092,1,1
6.23000002,25.26000023,1,1
6.87599993,26.4489994,1,1
22.28000069,85.59999847,1,1
7.78,30.41,1,1
11.55000019,45.11,1,1
7.19999981,28.0,1,1
6.5,42.3,1,1
1.84,10.84,1,0
1.0,5.4,1,0
0.7,2.6,1,0
17.10000038,95.69999695,1,1
7.30000019,40.90000153,1,1
1.4,5.1,1,0
9.09,40.63,1,1
36.6,154.8,1,1
36.6,154.8,1,1
0.0,0.1,1,0
4.99,19.49,1,0
7.21000004,28.30999947,1,1
1.4,5.5,1,0
0.83,2.5,1,0
5.44,14.918,1,0
1.70000005,6.0,1,0
1.25,4.65,1,0
1.70000005,6.19999981,1,0
2.53,9.45,1,0
1.55999994,2.96000004,1,0
2.6,5.4,1,0
0.83,1.78,1,0
1.12,4.02,1,0
0.07,0.25999999,1,0
1.435,2.97,1,0
2.57,4.16,1,0
1.095,4.47,1,0
1.60000002,3.20000005,1,0
1.79999995,3.4000001,1,0
7.47,12.19,1,0
0.027,20.06,1,0
2.9000001,9.69999981,1,0
5.4000001,13.89999962,1,0
1.60000002,4.0999999,1,0
5.9000001,12.0,1,0
0.38999999,1.29999995,1,0
0.75,2.79999995,1,0
8.60000038,11.19999981,1,1
3.0999999,4.0,1,0
16.0,20.79999924,1,1
21.70000076,28.29999924,1,1
5.69999981,12.80000019,1,0
10.19999981,15.30000019,1,1
17.6,30.0,1,1
8.83,14.03,1,1
0.17,0.38,1,0
6.5,12.61,1,0
10.89999962,18.5,1,1
2.61,15.91,1,0
31.0,43.6,1,1
14.45,56.43,1,1
1.04,4.1,1,0
1.04999995,4.09000015,1,0
7.69,51.75,1,1
4.49,14.04,1,0
4.4,13.77,1,0
0.41,1.58,1,0
2.02,7.71,1,0
5.304,10.92,1,0
10.535,15.19,1,1
3.0012,5.2521,1,0
5.7324,11.802,1,0
8.6864,15.2012,1,1
12.0048,21.0084,1,1
9.2616,19.068,1,1
4.6512,9.576,1,0
14.5,81.19,1,1
1.622,6.574,1,0
0.701,2.839,1,0
0.701,2.839,1,0
0.086,0.35,1,0
0.086,0.35,1,0
2.52,13.99,1,0
8.82,8.48,1,0
6.57,10.3,1,0
0.58,0.56,1,0
1.14,1.66,1,0
1.14,1.66,1,0
0.001,0.001,1,0
0.001,0.001,0,2
0.001,0.001,0,2
0.001,0.001,0,2
9.4,41.2,1,1
12.0,52.6,1,1
2.5,6.5,1,0
0.19,0.44999999,1,0
0.001,0.001,1,0
0.001,0.001,1,0
0.001,0.001,1,0
0.001,0.001,1,0
0.1,0.1,0,2
0.1,0.1,0,2
0.65,5.32,1,0
0.7,7.6,1,0
16.35000038,34.68999863,1,1
23.81999969,50.52999878,1,1
1.11000001,2.3599999,1,0
1.11000001,2.3599999,1,0
2.49000001,4.26999998,1,0
9.89999962,17.0,1,1
1.74,9.73,1,0
5.2,6.4,1,0
0.8,1.0,1,0
2.2,2.6,1,0
5.2,6.4,1,0
0.8,1.0,1,0
2.2,2.6,1,0
0.0,0.1,1,0
0.1,0.2,0,2
0.1,0.2,0,2
0.1,0.1,0,2
0.1,0.1,0,2
0.1,0.1,0,2
0.1,0.1,0,2
1.5,10.2,1,0
17.6,97.6,1,1
1.8,10.3,1,0
8.4,46.4,1,1
1.5,10.2,1,0
2.2,14.9,1,0
1.8,4.6,1,0
0.86,2.5,1,0
0.85,2.52,1,0
5.81,9.6,1,0
0.71,2.4,1,0
0.71,2.4,1,0
2.694,3.655,0,2
3.3,18.49,1,0
3.18,7.32,1,0
3.67,6.3,1,0
8.32,14.13,1,1
8.99,8.99,1,0
10.08,17.13,1,1
1.49,4.78,1,0
1.29999995,3.29999995,1,0
0.2,0.1,0,2
0.2,0.1,0,2
5.81,40.66,1,1
2.3,15.9,1,0
1.5,10.1,1,0
1.6,9.05,1,0
3.87,21.78,1,0
6.53,28.6,1,1
1.6,9.05,1,0
4.3326,7.4298,1,0
4.3326,7.4298,1,0
8.707536,12.3499,1,1
10.87769,15.42783,1,1
1.68822,2.89506,1,0
5.42571,9.30433,1,0
0.07398,0.11592,1,0
15.61549,22.14745,1,1
1.373022,1.947358,1,0
5.42571,9.30433,1,0
1.68822,2.89506,1,0
0.3376,0.3552,1,0
1.9,13.3,1,0
2.2,15.1,1,0
2.2,15.1,1,0
2.2,15.1,1,0
2.19,3.43,1,0
0.88,2.31,1,0
3.38,8.88,1,0
0.1,0.25,1,0
3.39,8.8,1,0
4.99712,8.74496,1,0
4.99712,8.74496,1,0
19.22,45.61,1,1
14.61,36.76,1,1
6.63,15.4,1,0
1.1,3.3,1,0
0.48,1.84,1,0
5.32,12.82,1,0
1.69,6.11,1,0
0.44,1.73,1,0
1.32,4.06,1,0
0.9,2.01,1,0
1.85,4.21,1,0
1.73,3.98,1,0
4.74,11.63,1,0
8.2,16.37,1,1
1.72,6.21,1,0
17.92,24.52,1,1
16.12,21.99,1,1
0.7,1.5,1,0
0.01,0.01,1,0
0.01,0.01,1,0
0.01,0.01,1,0
0.3,2.0,1,0
0.064,0.079,0,2
0.0672,0.3003,1,0
8.84000015,14.52000046,1,1
6.23000002,10.68000031,1,0
9.69999981,16.70000076,1,1
2.5999999,4.5,1,0
12.94999981,22.20000076,1,1
25.20000076,43.20999908,1,1
5.1500001,8.84000015,1,0
0.06,0.111,1,0
5.13000011,8.80000019,1,0
0.75999999,1.29799998,1,0
6.42000008,11.02000046,1,0
14.5,24.94000053,1,1
3.69000006,6.32000017,1,0
7.3499999,12.59000015,1,0
16.32999992,28.35000038,1,1
0.403,1.634,1,0
0.403,1.634,1,0
0.653,2.645,1,0
0.133665,0.313215,0,2
0.133665,0.313215,0,2
2.1,5.1,1,0
15.036,25.782,1,1
10.736,18.788,1,1
10.736,18.788,1,1
1.25,2.06,1,0
1.25,2.06,1,0
4.33,4.33,1,0
4.33,4.33,1,0
0.115,0.201,1,0
0.255,0.525,1,0
0.0102,0.021,1,0
1.04244,2.1462,1,0
0.1428,0.294,1,0
1.6,2.8,1,0
1.72,2.95,1,0
1.7,2.2,1,0
0.011,0.04,1,0
0.189,0.64,1,0
6.9,24.8,1,1
6.9,24.8,1,1
5.3,36.0,1,1
13.13,22.97,1,1
1.0,2.0,1,0
1.0,2.0,1,0
13.8,49.6,1,1
3.4,23.2,1,0
5.3,36.0,1,1
2.4,3.76,1,0
66.77,312.13,1,1
26.1,45.88,1,1
1.08,2.22,1,0
0.89,1.84,1,0
0.89,1.84,1,0
1.08,2.22,1,0
0.0204,0.042,1,0
1.85,2.33,1,0
6.91,10.76,1,0
0.01,0.1,1,0
0.01,0.1,1,0
0.01,0.1,1,0
0.01,0.1,1,0
21.60000038,33.11999893,1,1
9.95,17.78,1,1
1.098,1.922,1,0
0.122,0.2135,1,0
0.00301,0.00434,1,0
0.06622,0.09548,1,0
0.2107,0.3038,1,0
4.43348,7.75859,1,0
0.470881592039801,0.824138805970149,1,0
11.207,19.612,1,1
1.3664,2.3912,1,0
1.3664,2.3912,1,0
0.06622,0.09548,1,0
0.00301,0.00434,1,0
0.2107,0.3038,1,0
2.584,4.522,1,0
8.8128,12.4992,1,1
2.074,3.6295,1,0
1.792,2.96,1,0
0.0732,0.1281,1,0
1.0004,1.7507,1,0
0.4148,0.7259,1,0
0.0976,0.1708,1,0
1.83,3.2025,1,0
0.1428,0.294,1,0
1.8788,3.2879,1,0
5.32,10.96,1,0
5.32,10.96,1,0
0.036,0.052,1,0
0.24,0.81,1,0
0.47,1.57,1,0
0.406,1.393,1,0
0.26108,0.45689,1,0
0.1,0.1,0,2
0.1,0.1,0,2
0.098226,0.1393,1,0
0.04752,0.1008,1,0
0.00122,0.002135,1,0
0.333,1.054,1,0
